dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.042029,14.171379,0.017910,1.791045,89.552239,4477.611940,6.280981
0.020000,19.048588,14.171366,0.024470,0.327971,-73.153687,-8135.296275,6.281506
0.020000,19.059522,14.171352,0.035403,0.546674,10.935135,4204.441070,6.282381
0.020000,19.117871,14.171358,0.093752,2.917447,118.538680,5380.177270,0.000420
0.020000,19.298761,14.171577,0.274643,9.044543,306.354793,9390.805627,0.001996
0.020000,19.519892,14.172232,0.495775,11.056580,100.601862,-10287.646521,0.003925
0.020000,19.781247,14.173555,0.757133,13.067922,100.567068,-1.739701,0.006206
0.020000,20.082847,14.175825,1.058742,15.080449,100.626363,2.964735,0.008843
0.020000,20.424694,14.179359,1.400607,17.093238,100.639465,0.655104,0.011836
0.020000,20.806882,14.184523,1.782830,19.111157,100.895954,12.824438,0.015188
0.020000,21.229309,14.191724,2.205318,21.124407,100.662457,-11.674827,0.018899
0.020000,21.692095,14.201414,2.668206,23.144391,100.999213,16.837773,0.022973
0.020000,22.195175,14.214090,3.171445,25.161972,100.879082,-6.006514,0.027411
0.020000,22.738571,14.230295,3.715083,27.181857,100.994206,5.756194,0.032216
0.020000,23.322277,14.250617,4.299143,29.202996,101.056988,3.139086,0.037389
0.020000,23.946263,14.275689,4.923632,31.224479,101.074137,0.857426,0.042932
0.020000,24.610595,14.306196,5.588665,33.251628,101.357436,14.164983,0.048849
0.020000,25.315125,14.342860,6.294148,35.274147,101.125981,-11.572748,0.055140
0.020000,26.059874,14.386457,7.040172,37.301209,101.353059,11.353895,0.061807
0.020000,26.844774,14.437807,7.826749,39.328879,101.383533,1.523707,0.068853
0.020000,27.669717,14.497774,8.653869,41.356003,101.356164,-1.368485,0.076277
0.020000,28.534654,14.567272,9.521594,43.386238,101.511763,7.779982,0.084082
0.020000,29.439405,14.647254,10.429874,45.413968,101.386524,-6.261959,0.092267
0.020000,30.383837,14.738722,11.378724,47.442536,101.428395,2.093566,0.100832
0.020000,31.367755,14.842716,12.368123,49.469917,101.369022,-2.968677,0.109776
0.020000,32.390973,14.960324,13.398077,51.497716,101.389987,1.048273,0.119099
0.020000,33.453248,15.092669,14.468565,53.524397,101.334008,-2.798954,0.128797
0.020000,34.554283,15.240910,15.579535,55.548497,101.205011,-6.449876,0.138869
0.020000,35.693725,15.406235,16.730908,57.568642,101.007276,-9.886719,0.149308
0.020000,36.871244,15.589877,17.922661,59.587664,100.951075,-2.810065,0.160111
0.020000,38.086389,15.793079,19.154679,61.600888,100.661229,-14.492314,0.171270
0.020000,39.338713,16.017118,20.426885,63.610323,100.471722,-9.475334,0.182779
0.020000,40.627701,16.263286,21.739169,65.614203,100.194007,-13.885765,0.194628
0.020000,41.952771,16.532884,23.091387,67.610899,99.834822,-17.959262,0.206806
0.020000,43.313293,16.827221,24.483383,69.599800,99.445010,-19.490567,0.219301
0.020000,44.708606,17.147610,25.915008,71.581216,99.070802,-18.710396,0.232101
0.020000,46.137961,17.495352,27.386055,73.552378,98.558121,-25.634050,0.245188
0.020000,47.600561,17.871737,28.896308,75.512624,98.012305,-27.290819,0.258547
0.020000,49.095557,18.278031,30.445530,77.461108,97.424171,-29.406700,0.272157
0.020000,50.622060,18.715477,32.033475,79.397277,96.808494,-30.783856,0.286000
